Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,speaker
10.0,-502.74316,120.23315,-45.851967,10.472577,-6.673572,-5.4936776,-13.171205,-3.2873507,-9.134124,-13.439217,-4.3021426,-8.5103855,-10.386157,-14.447228,-1.6624709,-7.5385213,-11.140652,-6.675858,-5.657987,-7.9778337,-13.259422,-6.5999775,-9.056684,-7.2508273,-7.3027487,-9.058176,-5.356767,-6.791394,-6.2328696,-6.7853327,-6.002724,-6.798368,-4.725235,-2.0042233,-3.80439,-1.4681371,6.63e-06,-3.0091257,-5.253599,-3.8663242,0.0
11.0,-561.62225,118.47909,-41.345615,6.9084196,-3.3460796,-7.282958,-12.477462,-5.7898154,-9.42712,-13.147794,-5.5242944,-7.9795823,-10.732942,-13.959182,-2.8840947,-7.2270393,-10.789979,-6.474453,-6.3121867,-7.1477633,-12.19172,-7.109942,-8.804993,-7.802739,-5.551534,-9.524248,-5.9558253,-4.586602,-5.742008,-6.290061,-5.751552,-6.488349,-4.41964,-2.553446,-3.9460096,-2.1589181,-1.5293983,-3.050978,-3.5266633,-3.0745695,0.0
12.0,-470.33817,110.14255,-37.30137,7.383124,-2.2807486,-4.5375977,-12.101893,-3.7301636,-7.285607,-14.036106,-5.4737873,-8.038828,-9.654999,-12.592864,-2.7058303,-6.225356,-10.225898,-5.798212,-5.677878,-7.0935235,-10.725355,-6.9149146,-7.986893,-7.1400943,-6.962037,-9.6904125,-6.9679847,-4.682958,-5.0477653,-5.659545,-4.4681077,-5.4491334,-3.2119484,-2.7887723,-3.6267183,-1.7665929,-2.1837587,-2.6827636,-3.249222,-1.8034327,0.0
13.0,-500.2226,118.40298,-39.101185,7.206746,-2.5094397,-5.0803556,-12.234758,-3.8846686,-7.1920815,-13.47707,-5.665318,-8.558444,-11.748244,-13.824339,-2.836352,-7.7267923,-10.585833,-6.7560854,-5.672771,-6.954264,-12.702448,-8.002597,-8.966938,-7.4250546,-6.8270197,-9.393368,-6.594532,-5.6649137,-5.202119,-5.629597,-4.4855194,-4.5623336,-3.53767,-2.460254,-2.3966272,-1.0191698,-0.6040381,-2.0996542,-4.1682935,-3.4587114,0.0
14.0,-530.7052,120.00436,-43.623047,11.148616,-6.0812445,-3.404856,-12.345513,-3.4634333,-7.0752506,-12.663691,-3.0132728,-9.237445,-10.20313,-12.642578,-2.5296998,-6.01557,-9.403043,-4.984147,-5.076924,-7.529731,-11.340508,-6.9679556,-9.70324,-6.6865625,-5.065021,-7.7548,-5.108003,-3.5974822,-5.4296517,-6.6085,-5.2031627,-6.316854,-4.2143426,-2.7908382,-2.701711,-1.215389,-0.6878563,-1.7829164,-4.108529,-3.70518,0.0
15.0,-468.78833,115.01874,-34.227303,4.6909637,-2.4391062,-5.6014357,-11.795927,-7.5717034,-7.8702884,-13.972816,-7.3958955,-8.955818,-11.560406,-11.718845,-2.7463422,-6.00568,-9.476543,-5.3818603,-5.117987,-7.665021,-10.340915,-6.8082995,-7.2635655,-5.7409005,-6.4450107,-9.057678,-6.3523116,-4.3721285,-4.844193,-6.5029793,-5.092228,-4.873938,-2.730972,-1.083601,-2.1125634,-1.3548617,-2.5941436,-4.375334,-5.45632,-4.5218654,0.0
16.0,-543.0468,123.67946,-37.281864,10.630129,-3.8040679,-3.351678,-9.0924,-8.088308,-6.894046,-12.183972,-5.5666866,-9.856518,-11.560293,-11.539121,-4.6038766,-7.4868207,-9.550847,-5.6405306,-6.706589,-8.331494,-11.031157,-8.855407,-8.966354,-6.033986,-6.111895,-8.992937,-6.1175084,-4.911899,-5.4691577,-6.2645454,-5.1453233,-5.2974844,-4.736113,-3.2982526,-3.2549012,-2.64235,-2.0423317,-2.6561053,-3.8589802,-2.8027067,0.0
17.0,-478.06375,114.43392,-37.27479,6.420944,-2.829501,-4.5400906,-9.841031,-6.7062645,-8.856408,-13.076393,-5.238794,-7.9407396,-10.911274,-11.0782,-2.7371209,-7.1061964,-9.079259,-6.033383,-6.4925494,-7.7517295,-10.79893,-7.2483997,-8.912888,-6.9826226,-6.6212034,-9.292918,-5.402063,-4.800918,-6.2534223,-6.876705,-5.3253326,-4.9136653,-4.018887,-3.3040326,-3.7681997,-1.806942,-1.5789938,-2.6485488,-3.240186,-2.5572402,0.0
18.0,-564.9225,123.659,-46.91011,10.634884,-6.4131017,-2.5013824,-11.444766,-4.3942957,-7.5345087,-13.597164,-4.5725703,-9.859854,-9.248708,-12.238449,-3.209202,-7.762582,-9.9394245,-6.1199293,-7.468674,-7.5704284,-11.411465,-5.9394555,-8.495827,-6.7579207,-5.6039486,-10.768041,-6.7676578,-5.3700805,-6.181844,-6.399455,-5.322534,-5.3100033,-4.8223763,-3.7946289,-3.9194865,-3.1112227,-1.8032761,-3.3475983,-4.3718367,-2.19388,0.0
19.0,-497.3518,122.164635,-40.68877,9.973115,-1.8391986,-3.0667002,-10.5996895,-3.1902382,-6.568864,-11.401204,-2.579841,-7.340028,-8.634812,-10.017396,-1.1159624,-6.376858,-8.766825,-4.9052634,-4.9879775,-6.132414,-9.645678,-4.4894543,-6.99735,-5.2808423,-5.345343,-9.604006,-6.147739,-4.707769,-4.324305,-5.0103354,-4.0370374,-4.165398,-3.449709,-2.3310673,-2.1223755,-0.2426869,-0.18994926,-1.4778839,-2.642227,-1.8772858,0.0
